Provinsi,Kabupaten/Kota,Nama Bank,Kode Bank
Provinsi Jawa Tengah,Kab. Brebes,PT Bank Perekonomian Rakyat Bumiayu Bangun Citra,601401
Provinsi Jawa Tengah,Kab. Brebes,PT. BPR Jatibarang Sediaguna,601444
Provinsi Jawa Tengah,Kab. Brebes,PT Bank Perekonomian Rakyat Arisma Mandiri,602468
Provinsi Jawa Tengah,Kab. Brebes,PT Bank Perekonomian Rakyat Muhadi Setia Budi,602751
Provinsi Jawa Tengah,Kab. Pati,PT. BPR Artaperdana Delta Sentosa,600071
Provinsi Jawa Tengah,Kab. Pati,PT Bank Perekonomian Rakyat Artha Huda Abadi,600088
Provinsi Jawa Tengah,Kab. Pati,Koperasi Bank Perekonomian Rakyat Wedariyaksa,600583
Provinsi Jawa Tengah,Kab. Pati,PT BPR Tayu Dutapersada,600585
Provinsi Jawa Tengah,Kab. Pati,PT Bank Perekonomian Rakyat Mitra Pati Mandiri,601441
Provinsi Jawa Tengah,Kab. Pati,PT Bank Perekonomian Rakyat Asabahana Sejahtera,601458
Provinsi Jawa Tengah,Kab. Pati,PT. BPR Juwana Artha Sentosa,601460
Provinsi Jawa Tengah,Kab. Pati,PT BPR BKK Pati ( Perseroda ),601507
Provinsi Jawa Tengah,Kab. Pati,PT Bank Perekonomian Rakyat Sungkunandhana,601685
Provinsi Jawa Tengah,Kab. Pati,PT Bank Perekonomian Rakyat Bank Daerah Pati (Perseroda),601879
Provinsi Jawa Tengah,Kab. Pati,PT. BPR Kusuma Arta Rini,602071
Provinsi Jawa Tengah,Kab. Kudus,PT Bank Perekonomian Rakyat Bank Daerah Kudus (Perseroda),600547
Provinsi Jawa Tengah,Kab. Kudus,PT Bank Perekonomian Rakyat Catur Artha Jaya,600875
Provinsi Jawa Tengah,Kab. Kudus,PT BPR Dananta,601411
Provinsi Jawa Tengah,Kab. Kudus,PT Bank Perekonomian Rakyat Mitra Budikusuma Mandiri,601420
Provinsi Jawa Tengah,Kab. Kudus,PT Bank Perekonomian Rakyat Taruna Adidaya Santosa,601454
Provinsi Jawa Tengah,Kab. Kudus,PT. BPR Hartha Muriatama,601455
Provinsi Jawa Tengah,Kab. Kudus,PT BPR BKK Kudus (Perseroda),601505
Provinsi Jawa Tengah,Kab. Pemalang,PT Bank Perekonomian Rakyat Panasayu Arthalayan Sejahtera,600015
Provinsi Jawa Tengah,Kab. Pemalang,PT Bank Perekonomian Rakyat Bank Pemalang (Perseroda),600640
Provinsi Jawa Tengah,Kab. Pemalang,PT Bank Perekonomian Rakyat Hidup Artha Putra,601384
Provinsi Jawa Tengah,Kab. Pemalang,PT Bank Perekonomian Rakyat BKK Taman (Perseroda),601570
Provinsi Jawa Tengah,Kab. Jepara,PT BPR Bank Jepara Artha (Perseroda),600312
Provinsi Jawa Tengah,Kab. Jepara,PT. BPR Nusamba Pecangaan Jepara,600571
Provinsi Jawa Tengah,Kab. Jepara,PT BPR BKK Jepara (Perseroda),601481
Provinsi Jawa Tengah,Kab. Rembang,PT BPR Bank Rembang (Perseroda),600553
Provinsi Jawa Tengah,Kab. Rembang,PT BPR BKK Lasem (Perseroda),601497
Provinsi Jawa Tengah,Kab. Blora,Perumda BPR Bank Blora Artha,600430
Provinsi Jawa Tengah,Kab. Blora,PT Bank Perekonomian Rakyat Dutabhakti Insani,600591
Provinsi Jawa Tengah,Kab. Blora,PT BPR Cepu Nasionalbank,600608
Provinsi Jawa Tengah,Kab. Blora,PT. BPR Dhana Mitratama,601471
Provinsi Jawa Tengah,Kab. Blora,PT Bank Perekonomian Rakyat Badan Kredit Kecamatan Blora (Perseroda),601479
Provinsi Jawa Tengah,Kab. Banyumas,PT. BPR Artha Mekar Sokaraja,600241
Provinsi Jawa Tengah,Kab. Banyumas,PT Bank Perekonomian Rakyat Badan Kredit Kecamatan Purwokerto (Perseroda),600497
Provinsi Jawa Tengah,Kab. Banyumas,PT Bank Perekonomian Rakyat Gunung Simping Artha,600619
Provinsi Jawa Tengah,Kab. Banyumas,PT Bank Perekonomian Rakyat Dana Mitra Sakti,600695
Provinsi Jawa Tengah,Kab. Banyumas,PT Bank Perekonomian Rakyat Tirta Danarta,601400
Provinsi Jawa Tengah,Kab. Banyumas,PT Bank Perekonomian Rakyat Eleska Artha,601432
Provinsi Jawa Tengah,Kab. Banyumas,PT Bank Perekonomian Rakyat Mitra Gema Mandiri,601449
Provinsi Jawa Tengah,Kab. Banyumas,PT Bank Perekonomian Rakyat Soka Panca Artha,601469
