Provinsi,Kabupaten/Kota,Nama Bank,Kode Bank
Provinsi Jawa Timur,Kab. Malang,PT BPRS Bhakti Haji,620048
Provinsi Jawa Timur,Kab. Malang,PT Bank Perekonomian Rakyat Syariah Bumi Rinjani Kepanjen,620106
Provinsi Jawa Timur,Kab. Malang,PT Bank Perekonomian Rakyat Syariah Al Hijrah Thayibah,620198
Provinsi Jawa Timur,Kab. Pasuruan,PT Bank Perekonomian Rakyat Syariah Daya Artha Mentari,620056
Provinsi Jawa Timur,Kab. Pasuruan,PT BPRS Al Hidayah,620072
Provinsi Jawa Timur,Kab. Pasuruan,PT. BPRS Ummu,620074
Provinsi Jawa Timur,Kab. Pasuruan,PT. BPRS Jabal Tsur,620103
Provinsi Jawa Timur,Kab. Probolinggo,PT BPRS Bumi Rinjani Probolinggo,620105
Provinsi Jawa Timur,Kab. Kediri,PT Bank Perekonomian Rakyat Syariah Artha Pamenang,620147
Provinsi Jawa Timur,Kab. Kediri,PT Bank Perekonomian Rakyat Syariah Rahma Syariah,620150
Provinsi Jawa Timur,Kab. Kediri,PT Bank Perekonomian Rakyat Syariah Tunas Artha Jaya Abadi,620200
Provinsi Jawa Timur,Kab. Ngawi,PT Bank Perekonomian Rakyat Syariah Kabupaten Ngawi Perseroda,620183
Provinsi Jawa Timur,Kab. Magetan,PT BPRS Magetan (Perseroda),620165
Provinsi Jawa Timur,Kab. Ponorogo,PT Bank Perekonomian Rakyat Syariah Almabrur Babadan,620073
Provinsi Jawa Timur,Kab. Ponorogo,PT Bank Perekonomian Rakyat Syariah Mitra Mentari Sejahtera,620180
Provinsi Jawa Timur,Kab. Lamongan,PT Bank Perekonomian Rakyat Syariah Madinah,620139
Provinsi Jawa Timur,Kab. Situbondo,PT Bank Perekonomian Rakyat Syariah Situbondo,620081
Provinsi Jawa Timur,Kota Batu,PT Bank Perekonomian Rakyat Syariah Arsa Sejahtera,620079
Provinsi Jawa Timur,Kota Batu,PT BPRS Bumi Rinjani,620109
Provinsi Jawa Timur,Kota Surabaya,PT Bank Perekonomian Rakyat Syariah Karya Mugi Sentosa,620113
Provinsi Jawa Timur,Kota Surabaya,PT. BPRS Jabal Nur Tebuireng,620114
Provinsi Jawa Timur,Kota Mojokerto,PT BPRS Mojo Artho Kota Mojokerto Perseroda,620160
Provinsi Jawa Timur,Kota Malang,PT BPRS Bumi Rinjani Malang,620078
Provinsi Jawa Timur,Kota Malang,PT Bank Perekonomian Rakyat Syariah Mitra Harmoni Kota Malang,620153
Provinsi Jawa Timur,Kota Kediri,PT Bank Perekonomian Rakyat Syariah Tanmiya Artha,620130
Provinsi Bengkulu,Kab. Seluma,PT Bank Perekonomian Rakyat Syariah Muamalat Harkat,620052
Provinsi Bengkulu,Kota Bengkulu,PT. BPRS Safir,620090
Provinsi Bengkulu,Kota Bengkulu,PT Bank Perekonomian Rakyat Syariah Maslahat Dana Syariah Nusantara,620181
Provinsi Bengkulu,Kota Bengkulu,PT Bank Perekonomian Rakyat Syariah Fadhilah Kota Bengkulu (Perseroda),620184
Provinsi NAD,Kab. Aceh Besar,PT. BPRS Hareukat,620003
Provinsi NAD,Kab. Aceh Besar,PT Bank Perekonomian Rakyat Syariah Baiturrahman,620024
Provinsi NAD,Kab. Aceh Besar,PT Bank Perekonomian Rakyat Syariah Ingin Jaya,620203
Provinsi NAD,Kab. Pidie,PT Bank Perekonomian Rakyat Syariah Tengku Chiek Dipante,620025
Provinsi NAD,Kab. Aceh Tengah,PT Bank Pembiayaan Rakyat Syariah Gayo Perseroda,620120
Provinsi NAD,Kab. Aceh Jeumpa/Bireuen,PT BPRS Kota Juang Perseroda,620144
Provinsi NAD,Kab. Aceh Jeumpa/Bireuen,PT Bank Perekonomian Rakyat Syariah Rahmania Dana Sejahtera,620148
Provinsi NAD,Kota Banda Aceh,PT Bank Perekonomian Rakyat Syariah Hikmah Wakilah,620046
Provinsi NAD,Kota Banda Aceh,PT Bank Perekonomian Rakyat Syariah Taman Indah Darussalam,620158
Provinsi NAD,Kota Banda Aceh,PT Bank Perekonomian Rakyat Syariah Mustaqim Aceh Perseroda,620187
Provinsi NAD,Kota Banda Aceh,PT Bank Perekonomian Rakyat Syariah Arthaaceh Sejahtera,620192
