Nama Bank,Provinsi,Kabupaten/Kota,Jenis,Latitude,Longitude,in_indonesia,in_indonesia_buffered,is_on_land
PT Bank Perekonomian Rakyat Bahteramas Buton Utara (Perseroda),Provinsi Sulawesi Tenggara,Kab. Buton,Konvensional,-4.9129564,122.2495905,False,False,False
PT. BPR Bahteramas Kolaka Utara (Perseroda),Provinsi Sulawesi Tenggara,Kab. Kolaka Utara,Konvensional,-3.7824883,120.9237149,False,True,False
PD BPR NTB Sumbawa,Provinsi Nusa Tenggara Barat,Kab. Sumbawa,Konvensional,-8.5482416,116.8111729,False,False,False
PT. BANK PEREKONOMIAN RAKYAT PESISIR AKBAR,Provinsi Nusa Tenggara Barat,Kab. Bima,Konvensional,-8.4878001,118.6721655,True,True,False
PT Bank Perekonomian Rakyat Desa Sangeh,Provinsi Bali,Kab. Badung,Konvensional,-8.602921,115.0332141,False,True,False
PT Bank Perekonomian Rakyat Sinar Kuta,Provinsi Bali,Kab. Badung,Konvensional,-8.6749466,115.0956307,False,True,False
PT Bank Perekonomian Rakyat Sinar Kuta Mulia,Provinsi Bali,Kab. Badung,Konvensional,-8.7001376,115.129677,False,True,False
PT Bank Perekonomian Rakyat Tulus,Provinsi Bali,Kab. Badung,Konvensional,-8.6351703,115.0303815,False,True,False
PT Bank Perekonomian Rakyat Permata Sedana,Provinsi Bali,Kab. Badung,Konvensional,-8.7056351,115.0943324,False,True,False
PT Bank Perekonomian Rakyat Cahaya Binawerdi,Provinsi Bali,Kab. Badung,Konvensional,-8.6296762,114.9403193,False,True,False
PT Bank Perekonomian Rakyat Saptacristy Utama,Provinsi Bali,Kab. Badung,Konvensional,-8.6619004,115.1065933,False,True,False
PT BPR KS Bali Agung Sedana,Provinsi Bali,Kab. Badung,Konvensional,-8.6857477,115.0983628,False,True,False
PT Bank Perekonomian Rakyat Megah Raharja Berdaya,Provinsi Bali,Kab. Badung,Konvensional,-8.5447669,114.8378722,True,True,False
