Tahun,Bulan,Nama_BPR,Kabupaten_Kota,Provinsi,Kode_Bank,Total_Aset,Piutang_Murabahah,Piutang_Istishna,Piutang_Multijasa,Piutang_Qardh,Piutang_Sewa,Pembiayaan_Mudharabah,Pembiayaan_Musyarakah,Pembiayaan_Lainnya,Salam,Agunan_yang_Diambil_Alih,Tabungan_Wadiah,Tabungan_Mudharabah,Deposito_Mudharabah,Cadangan_Kerugian_Penurunan_Nilai_1,Cadangan_Kerugian_Penurunan_Nilai_2,Liabilitas_Segera,Liabilitas_kepada_BI,Liabilitas_kepada_Bank_Lain,Pembiayaan_Diterima,Liabilitas_Lainnya,Dana_Syirkah_Temporer,Pendapatan_setelah_distribusi_bagi_hasil,Pendapatan_dari_penyaluran_dana,Beban_Operasional,Zakat,Laba_Rugi_Bersih,KPMM,NPF_Neto,NPF_Gross,ROA,BOPO,FDR,Cash_Ratio,NI,Latitude,Longitude
2010,12,PT Bank Perekonomian Rakyat Syariah Bhakti Sumekar Perseroda,Kab. Sumenep,Provinsi Jawa Timur,620085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,12,PT BPRS Bina Finansia,Kota Semarang,Provinsi Jawa Tengah,620102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.984027795058197,110.415867283899
2010,12,PT Bank Perekonomian Rakyat Syariah Almabrur Babadan,Kab. Ponorogo,Provinsi Jawa Timur,620073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,12,PT. BANK PEREKONOMIAN RAKYAT SYARIAH DINAR ASHRI,Kota Mataram,Provinsi Nusa Tenggara Barat,620104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.593657692387334,116.10734653727864
2010,12,PT BPRS Bumi Rinjani,Kota Batu,Provinsi Jawa Timur,620109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.86392956395291,112.52576707537388
2010,12,PT Bank Perekonomian Rakyat Syariah Annisa Mukti,Kab. Sidoarjo,Provinsi Jawa Timur,620135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,12,PT Bank Perekonomian Rakyat Syariah Almasoem,Kab. Bandung,Provinsi Jawa Barat,620027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.97009496632967,107.54174350568084
2010,12,PT Bank Perekonomian Rakyat Syariah Karya Mugi Sentosa,Kota Surabaya,Provinsi Jawa Timur,620113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.248497572190274,112.74359015261464
2010,12,PT. BPRS Asri Madani Nusantara,Kab. Jember,Provinsi Jawa Timur,620033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.154319698220284,113.71768742028424
2010,12,PT Bank Perekonomian Rakyat Syariah Bahari Berkesan,Kota Ternate,Provinsi Maluku Utara,620164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7773589145132459,127.38615026515367
2010,12,PT Bank Perekonomian Rakyat Syariah Tunas Artha Jaya Abadi,Kab. Kediri,Provinsi Jawa Timur,620200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.816904745358005,112.01148890547412
2010,12,PT Bank Perekonomian Rakyat Syariah Kedung Arto,Kota Semarang,Provinsi Jawa Tengah,620191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.984249050778415,110.4263886103255
