roc_auc,pr_auc,ks,brier,recall_at_20pct,precision_at_20pct,lift_at_20pct,event_rate,calibration_intercept,calibration_slope,validation_target_year,feature_set,model,n_train,n_validation
0.6234458512483075,0.42764266532527934,0.20700287431408415,0.21462577772608826,0.2876404494382023,0.45878136200716846,1.434078369779711,0.3199137311286844,-0.21235796400196003,0.5327379992359181,2023,financial_trend_peer,hist_gbm,9145,1391
0.6060289331781362,0.399085866553399,0.17160842815402527,0.2187901917311791,0.2651685393258427,0.4229390681003584,1.322040997140671,0.3199137311286844,-0.4959317526839187,0.2419772928700543,2023,financial_trend_peer_spatial,logistic,9145,1391
0.6194811981851439,0.4310008519998866,0.18453809060028026,0.214640640866874,0.28314606741573034,0.45161290322580644,1.411670895251903,0.3199137311286844,-0.218835537953422,0.5351222184072951,2023,financial_trend_peer_spatial,hist_gbm,9145,1391
0.6453295243157056,0.47436938368695736,0.2276262801774362,0.20510498806293107,0.33254716981132076,0.5222222222222223,1.6590408805031447,0.3147735708982925,0.13269949581178586,0.8853754128348691,2024,financial,logistic,10536,1347
0.6745742962856968,0.4870458704687063,0.26811157219076437,0.1987906507884594,0.32075471698113206,0.5037037037037037,1.60020964360587,0.3147735708982925,0.18133402989292374,1.0081355510562287,2024,financial,hist_gbm,10536,1347
0.6465381549091355,0.4849785259162653,0.25188065986630964,0.20552664110521654,0.3419811320754717,0.5370370370370371,1.7061058700209646,0.3147735708982925,0.016314053418693616,0.7462938574313,2024,financial_trend,logistic,10536,1347
0.6703428115865,0.49999920695089994,0.24728377522026207,0.1980415777527262,0.32075471698113206,0.5037037037037037,1.60020964360587,0.3147735708982925,0.1116908014465192,0.9656005676783704,2024,financial_trend,hist_gbm,10536,1347
0.6504834522373721,0.4800844363683362,0.24507093358408796,0.2042875193591845,0.35141509433962265,0.5518518518518518,1.753170859538784,0.3147735708982925,0.029182306600500155,0.7929458764406262,2024,financial_trend_peer,logistic,10536,1347
0.6776533657679021,0.5030995404672188,0.2674778715836383,0.19687522574222852,0.32547169811320753,0.5111111111111111,1.6237421383647799,0.3147735708982925,0.15183253785929873,1.0276044649323668,2024,financial_trend_peer,hist_gbm,10536,1347
0.6496478873239436,0.47671814934353307,0.25106298166356633,0.20411523084740843,0.33254716981132076,0.5222222222222223,1.6590408805031447,0.3147735708982925,0.004571520563901947,0.7862629214521627,2024,financial_trend_peer_spatial,logistic,10536,1347
0.6784531572599604,0.5089298034781147,0.2898541466505856,0.19643535441678808,0.3231132075471698,0.5074074074074074,1.611975890985325,0.3147735708982925,0.18422537227731933,1.091562318708494,2024,financial_trend_peer_spatial,hist_gbm,10536,1347
