Tahun,Bulan,Longitude,Latitude,Nama_BPR,Kabupaten_Kota,Provinsi,Kode_Bank,Total_Aset,Piutang_Murabahah,Piutang_Istishna,Piutang_Multijasa,Piutang_Qardh,Piutang_Sewa,Pembiayaan_Mudharabah,Pembiayaan_Musyarakah,Pembiayaan_Lainnya,Salam,Agunan_yang_Diambil_Alih,Tabungan_Wadiah,Tabungan_Mudharabah,Deposito_Mudharabah,Cadangan_Kerugian_Penurunan_Nilai_1,Cadangan_Kerugian_Penurunan_Nilai_2,Liabilitas_Segera,Liabilitas_kepada_BI,Liabilitas_kepada_Bank_Lain,Pembiayaan_Diterima,Liabilitas_Lainnya,Dana_Syirkah_Temporer,Pendapatan_setelah_distribusi_bagi_hasil,Pendapatan_dari_penyaluran_dana,Beban_Operasional,Zakat,Laba_Rugi_Bersih,KPMM,NPF_Neto,NPF_Gross,ROA,BOPO,FDR,Cash_Ratio,NI
2019,12,,,PT BPRS Hidayah,Wil. Kota Jakarta Barat,Provinsi DKI Jakarta,620119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,12,,,PT Bank Perekonomian Rakyat Syariah Hijra Alami,Wil. Kota Jakarta Selatan,Provinsi DKI Jakarta,620138,16527505.0,6235103.0,0.0,699386.0,66000.0,0.0,0.0,2635050.0,0.0,0.0,0.0,1002104.0,392982.0,10063032.0,66782.0,143705.0,107731.0,0.0,2514680.0,0.0,154435.0,0.0,1527326.0,2631345.0,2263161.0,0.0,-638468.0,37.01,15.75,,2.0,75.95,60.03,22.76,37.01
2019,12,,,PT Bank Perekonomian Rakyat Syariah Al Ihsan,Kab. Bandung,Provinsi Jawa Barat,620044,15028969.0,7393379.0,0.0,1308536.0,77800.0,0.0,0.0,5313.0,0.0,0.0,170750.0,3375565.0,0.0,5726000.0,28465.0,267061.0,54107.0,0.0,3600000.0,0.0,28372.0,0.0,1875450.0,2623332.0,1675831.0,0.0,404753.0,21.95,9.54,,2.69,61.45,64.39,47.41,21.95
2019,12,,,PT Bank Perekonomian Rakyat Syariah Almasoem,Kab. Bandung,Provinsi Jawa Barat,620027,217915.0,151472.0,0.0,7101.0,18206.0,0.0,0.0,5969.0,0.0,0.0,535.0,66865.0,3340.0,106462.0,903.0,2300.0,2007.0,0.0,15572.0,0.0,4478.0,0.0,19677.0,30894.0,17291.0,0.0,3546.0,,10.99,,2.36,86.05,95.14,10.29,
2019,12,,,PT Bank Perekonomian Rakyat Syariah Amanah Rabbaniah,Kab. Bandung,Provinsi Jawa Barat,620002,92447918.0,46967894.0,0.0,14669241.0,391051.0,0.0,0.0,775612.0,0.0,0.0,76952.0,30202675.0,4165423.0,38977550.0,319750.0,1038434.0,441762.0,0.0,1000000.0,4908870.0,1791317.0,0.0,11305149.0,15974498.0,8028448.0,48000.0,4005111.0,18.11,0.2,,3.67,48.97,99.69,15.42,18.11
2019,12,,,PT Bank Perekonomian Rakyat Syariah Harta Insan Karimah Parahyangan,Kab. Bandung,Provinsi Jawa Barat,620054,1402051289.0,1038513244.0,0.0,1413780.0,2225303.0,0.0,647991.0,33461352.0,0.0,0.0,1082988.0,160060470.0,0.0,0.0,6675884.0,13632399.0,16960524.0,0.0,0.0,388175532.0,0.0,677670038.0,157589095.0,258742103.0,103212106.0,1462500.0,42321485.0,16.37,1.35,,4.68,77.75,87.79,49.19,16.37
2019,12,,,PT Bank Perekonomian Rakyat Syariah Amanah Insani,Kab. Bekasi,Provinsi Jawa Barat,620066,64834.0,34236.0,0.0,0.0,584.0,0.0,347.0,0.0,0.0,0.0,0.0,25356.0,0.0,27997.0,356.0,0.0,1521.0,0.0,0.0,0.0,1341.0,0.0,5555.0,8392.0,31159.0,556.0,-19584.0,25.0,22.16,,,230.0,66.0,49.0,25.0
2019,12,,,PT BPRS Bogor Tegar Beriman,Kab. Bogor,Provinsi Jawa Barat,620177,51392786.0,26760647.0,0.0,2549720.0,0.0,0.0,1447144.0,2271620.0,0.0,0.0,350000.0,588638.0,0.0,0.0,219009.0,1275417.0,41143.0,0.0,50348.0,0.0,677088.0,31399023.0,4965950.0,7072529.0,5386212.0,0.0,958401.0,54.5,11.65,,1.99,87.89,63.31,43.99,54.5
2019,12,,,PT Bank Perekonomian Rakyat Syariah Amanah Ummah,Kab. Bogor,Provinsi Jawa Barat,620004,300204306.0,191444356.0,6749376.0,322801.0,3925584.0,0.0,1300000.0,10264289.0,0.0,0.0,0.0,166321104.0,2883049.0,84629186.0,1401807.0,1484995.0,2682959.0,0.0,9329461.0,0.0,588356.0,0.0,30262871.0,36656873.0,22115329.0,713500.0,7090683.0,26.66,1.28,,3.31,71.71,73.6,20.82,26.66
2019,12,,,PT Bank Perekonomian Rakyat Syariah Botani Bina Rahmah,Kab. Bogor,Provinsi Jawa Barat,620061,18751251.0,13000874.0,0.0,1500961.0,1196400.0,0.0,130000.0,0.0,0.0,0.0,0.0,5733713.0,0.0,10683500.0,84695.0,475198.0,19846.0,0.0,100275.0,0.0,278450.0,0.0,1844677.0,2537697.0,2028980.0,0.0,540638.0,15.81,6.58,,1.97,6.11,128.36,24.31,15.81
2019,12,,,PT Bank Perekonomian Rakyat Syariah Harta Insan Karimah Insan Cita,Kab. Bogor,Provinsi Jawa Barat,620069,113080938.0,72389994.0,0.0,4236276.0,493372.0,0.0,1670725.0,7465237.0,0.0,0.0,0.0,15259416.0,2629095.0,35761052.0,636367.0,399353.0,1173326.0,0.0,33500010.0,13272889.0,621170.0,0.0,8998509.0,15849372.0,7764268.0,0.0,2095312.0,13.53,2.11,,2.31,74.18,89.35,81.35,13.53
2019,12,,,PT. BPRS Rif'atul Ummah,Kab. Bogor,Provinsi Jawa Barat,620068,8764790.0,6251988.0,192550.0,576901.0,712590.0,0.0,0.0,294573.0,0.0,0.0,74421.0,1938847.0,0.0,2141400.0,37685.0,15335.0,149876.0,0.0,3084807.0,0.0,129276.0,0.0,1221814.0,1670467.0,995275.0,0.0,639190.0,18.81,9.52,,-21.7,57.6,112.0,22.55,18.81
2019,12,,,PT Bank Perekonomian Rakyat Syariah Gaido Indonesia,Kab. Cianjur,Provinsi Jawa Barat,620043,16790766.0,11032598.0,0.0,2100510.0,110785.0,0.0,0.0,0.0,0.0,0.0,0.0,3939378.0,1233440.0,6774000.0,68011.0,148849.0,281554.0,0.0,0.0,0.0,0.0,3633543.0,1451948.0,2184247.0,2348873.0,0.0,296805.0,12.46,11.93,,1.77,105.56,89.56,10.11,12.46
2019,12,,,PT Bank Perekonomian Rakyat Syariah Harum Hikmahnugraha,Kab. Garut,Provinsi Jawa Barat,620029,73167806.0,44112085.0,0.0,136979.0,1060700.0,0.0,0.0,0.0,0.0,0.0,0.0,22351278.0,0.0,0.0,162048.0,215085.0,199351.0,0.0,0.0,0.0,493830.0,39574356.0,6576639.0,10506250.0,5659311.0,0.0,763993.0,31.59,3.27,,0.55,46.55,160.54,42.63,31.59
2019,12,,,PT Bank Perekonomian Rakyat Syariah PNM Mentari,Kab. Garut,Provinsi Jawa Barat,620008,86270745.0,59427640.0,0.0,12086027.0,3230139.0,0.0,0.0,1490590.0,0.0,0.0,0.0,5294318.0,11524408.0,33382542.0,342510.0,372200.0,311043.0,0.0,20400000.0,3224678.0,1531256.0,0.0,9219545.0,14908494.0,7539227.0,0.0,2301254.0,16.77,6.39,,3.62,82.17,91.55,14.22,16.77
2019,12,,,PT. BPRS Gotong Royong,Kab. Subang,Provinsi Jawa Barat,620172,12789350.0,6892622.0,0.0,617916.0,56483.0,0.0,0.0,3552706.0,0.0,0.0,0.0,1469372.0,0.0,0.0,32122.0,1283000.0,63049.0,0.0,0.0,0.0,38132.0,10779019.0,171948.0,1215751.0,2726693.0,0.0,-2363894.0,7.01,53.66,,-18.41,266.3,90.79,20.91,7.01
2019,12,,,PT BPRS Berkah Amal Salman,Kota Bandung,Provinsi Jawa Barat,620001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,12,,,PT Bank Perekonomian Rakyat Syariah Baiturridha Pusaka,Kota Bandung,Provinsi Jawa Barat,620011,116339067.0,17767201.0,0.0,67061868.0,0.0,0.0,600000.0,3170000.0,0.0,0.0,263544.0,12165901.0,15203078.0,38578994.0,549589.0,708947.0,219370.0,0.0,4300000.0,23455822.0,3214457.0,0.0,19456484.0,23593294.0,12848159.0,199084.0,6009422.0,18.61,1.74,,7.46,71.01,83.47,11.35,18.61
2019,12,,,PT Bank Perekonomian Rakyat Syariah Mitra Harmoni Kota Bandung,Kota Bandung,Provinsi Jawa Barat,620161,24486169.0,17604958.0,0.0,661306.0,0.0,0.0,0.0,0.0,0.0,0.0,857835.0,1602209.0,617439.0,9719956.0,74275.0,90193.0,329089.0,0.0,6086442.0,0.0,65609.0,0.0,2779134.0,4155569.0,3518820.0,0.0,-177586.0,32.0,21.0,,-1.0,104.0,76.0,36.0,32.0
