Tahun,Bulan,Longitude,Latitude,Nama_BPR,Kabupaten_Kota,Provinsi,Kode_Bank,Total_Aset,a. Kepada BPR,b. Kepada Bank Umum,c. Kepada non bank – pihak terkait,d. Kepada non bank – pihak tidak terkait,Cadangan_Kerugian_Penurunan_Nilai,Jumlah_Kredit,Tabungan,Deposito,Total_Liabilitas,Laba_tahun_berjalan,Total_Ekuitas,Agunan_yang_Diambil_Alih,Jumlah_Pendapatan_Bunga,Jumlah_Pendapatan_Operasional,Jumlah_Beban_Operasional,Laba_Rugi_Operasional,NPL_Gross,NPL_Neto,ROA,BOPO,NIM,LDR,KPMM,Cash_Ratio
2010,12,,,PT Bank Perekonomian Rakyat Millenia,Kota Manado,Provinsi Sulawesi Utara,601142,15016907.0,5074.0,2795050.0,47222.0,10292852.0,199548.0,13140198.0,0.0,0.0,0.0,861013.0,4261013.0,0.0,3630229.0,4297525.0,3351666.0,981936.0,,,,,,,,
2010,12,,,PT Bank Perekonomian Rakyat Mitra Kanaka Santosa,Kab. Bandung,Provinsi Jawa Barat,601356,33127534.0,5149.0,3993117.0,50000.0,28151577.0,731058.0,32199843.0,0.0,0.0,0.0,2556689.0,21250005.0,0.0,7474225.0,9313022.0,6979271.0,3088851.0,,,,,,,,
2010,12,,,PT Bank Perekonomian Rakyat Nusa Utara,Kota Manado,Provinsi Sulawesi Utara,600148,14918220.0,0.0,1503928.0,537057.0,11746738.0,95319.0,13787723.0,0.0,0.0,0.0,865642.0,3385489.0,0.0,2255010.0,2417466.0,1506376.0,865642.0,,,,,,,,
2010,12,,,PT Bank Perekonomian Rakyat Mapalus Tumetenden,Kab. Minahasa Utara,Provinsi Sulawesi Utara,601932,12340416.0,0.0,1779228.0,175517.0,10158023.0,697990.0,12112768.0,0.0,0.0,0.0,1122445.0,8131736.0,0.0,4094078.0,4517977.0,3365125.0,1282794.0,,,,,,,,
2010,12,,,PT Bank Perekonomian Rakyat Jujur Arghadana,Kab. Bandung,Provinsi Jawa Barat,601358,3951928.0,155578.0,585900.0,16406.0,3006641.0,52085.0,3764525.0,0.0,0.0,0.0,208507.0,7208507.0,0.0,1680301.0,1797884.0,1556804.0,238294.0,,,,,,,,
2010,12,,,PT Bank Perekonomian Rakyat Arya Bira Karsa,Kab. Minahasa Utara,Provinsi Sulawesi Utara,601919,2946504.0,0.0,525436.0,2494.0,2441399.0,257409.0,2969329.0,0.0,0.0,0.0,158517.0,6741439.0,0.0,800237.0,905832.0,718425.0,181162.0,,,,,,,,
2010,12,,,PT Bank Perekonomian Rakyat Mitra Dana Kawanua,Kota Manado,Provinsi Sulawesi Utara,602718,,,,,,,,,,,,,,,,,,,,,,,,,
2010,12,,,PT BPR ARTHABUMI CITRASATYA,Kab. Cianjur,Provinsi Jawa Barat,602242,,,,,,,,,,,,,,,,,,,,,,,,,
2010,12,,,PT Bank Perekonomian Rakyat Dana Pos,Kab. Cianjur,Provinsi Jawa Barat,601889,32879990.0,0.0,17186766.0,639739.0,12822788.0,1305428.0,30649293.0,0.0,0.0,0.0,2525203.0,15898725.0,0.0,9222548.0,14774094.0,11226676.0,3237709.0,,,,,,,,
2010,12,,,PT Bank Perekonomian Rakyat Arta Makmur Sejahtera,Kota Kotamobagu,Provinsi Sulawesi Utara,601141,797761.0,10986.0,49842.0,29996.0,480384.0,20868.0,571208.0,0.0,0.0,0.0,17546.0,2353263.0,0.0,220169.0,315903.0,298357.0,17546.0,,,,,,,,
2010,12,,,PT Bank Perekonomian Rakyat Artha Karya Sejahtera,Kab. Bogor,Provinsi Jawa Barat,602073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
2010,12,,,PT Bank Perekonomian Rakyat Bahteramas Buton (Perseroda),Kab. Buton,Provinsi Sulawesi Tenggara,602724,,,,,,,,,,,,,,,,,,,,,,,,,
2010,12,,,PT Bank Perekonomian Rakyat Nusamba Sukaraja,Kab. Sukabumi,Provinsi Jawa Barat,600182,26432431.0,0.0,6367812.0,95331.0,18702313.0,319243.0,25165456.0,0.0,0.0,0.0,181272.0,6562549.0,0.0,6822078.0,7434222.0,7271923.0,232742.0,,,,,,,,
2010,12,,,PT Bank Perekonomian Rakyat Agrimakmur Lestari,Kab. Mamuju Utara,Provinsi Sulawesi Barat,601147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
2010,12,,,PT Bank Perekonomian Rakyat Yustima Polewali Mandar,Kab. Polewali Mandar,Provinsi Sulawesi Barat,601913,2859740.0,0.0,274222.0,44824.0,2530004.0,51944.0,2849050.0,0.0,0.0,0.0,104924.0,1554924.0,0.0,753302.0,793598.0,672943.0,119913.0,,,,,,,,
2010,12,,,PT Bank Perekonomian Rakyat Nusantara Bona Pasogit Sebelas,Kab. Sukabumi,Provinsi Jawa Barat,601342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
